,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,0,0,2018,한화,준플,28,P,3,0,3,1,0,0,0,0,0,0,1.1,1,2,2.0,10,4,0,0,0,0,1,0,2,1,0,0,6.75,13.5,,2.95,3.0,
1,1,1,2022,SSG,한국,32,P,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,3.74,0.0,
