,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,0,0,2014,LG,플옵,24,P,3,0,3,1,0,0,0,1,0,0,0.2,6,6,6.7,9,5,2,0,1,0,2,0,1,0,0,0,81.0,81.0,,27.91,7.5,
1,1,1,2014,LG,준플,24,P,2,0,2,0,0,0,0,0,0,0,2.0,1,1,1.0,6,1,0,0,1,0,0,0,2,0,0,0,4.5,4.5,,7.66,0.5,
2,2,2,2016,LG,플옵,26,P,4,0,4,0,0,0,0,0,0,1,2.0,1,1,1.7,10,3,2,0,0,2,0,0,0,0,0,0,4.5,4.5,,7.39,2.5,
3,3,3,2016,LG,준플,26,P,3,0,3,0,0,0,1,0,0,1,4.1,0,0,0.0,17,3,0,0,0,1,0,0,3,0,0,0,0.0,0.0,,3.2,0.92,
4,4,4,2020,LG,준플,30,P,1,0,1,0,0,0,0,0,0,0,3.2,0,0,0.0,16,4,2,0,0,1,0,0,2,0,0,0,0.0,0.0,,3.46,1.36,
5,5,5,2021,키움,와카,31,P,1,1,0,0,0,0,0,1,0,0,1.1,4,4,2.8,9,3,1,0,0,2,0,0,1,0,0,0,27.0,27.0,,6.64,3.75,
6,6,6,2022,키움,준플,32,P,1,1,0,0,0,0,0,0,0,0,2.0,0,0,0.0,9,3,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,2.49,1.5,
