,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,0,0,2020,두산,한국,28,P,2,0,2,0,0,0,0,0,0,0,1.1,4,4,3.5,10,5,0,0,0,2,0,0,2,0,0,0,27.0,27.0,,5.0,5.25,
1,1,1,2020,두산,플옵,28,P,2,0,2,0,0,0,0,0,0,1,2.1,2,2,2.7,10,1,0,0,0,2,0,1,2,0,0,0,7.71,7.71,,4.55,1.29,
2,2,2,2021,두산,한국,29,P,3,0,3,0,0,0,0,0,0,0,2.1,0,0,2.05,9,2,1,0,0,1,0,0,0,0,0,0,0.0,0.0,,5.09,1.29,
3,3,3,2021,두산,플옵,29,P,1,0,1,0,0,0,1,0,0,0,3.0,1,1,0.65,13,3,1,0,0,1,0,0,2,1,0,0,3.0,3.0,,3.11,1.33,
4,4,4,2021,두산,준플,29,P,2,0,2,0,0,0,0,0,0,1,3.1,1,1,1.35,15,5,1,0,0,1,0,0,1,0,0,0,2.7,2.7,,3.92,1.8,
5,5,5,2021,두산,와카,29,P,1,0,1,0,0,0,0,0,0,0,1.1,1,1,1.0,6,2,0,0,0,0,0,0,1,0,0,1,6.75,6.75,,1.84,1.5,
6,6,6,2023,두산,와카,31,P,1,0,1,0,0,0,0,0,0,0,0.2,6,6,6.0,8,4,0,0,1,1,1,0,1,0,0,0,81.0,81.0,,27.25,7.5,
7,7,7,2024,두산,와카,32,P,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,1.7,0.0,
