,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2016,NC,한국,21,P,1,0,1,0,0,0,0,0,0,0,0.1,1,1,1.0,3,2,0,0,0,0,0,0,0,0,0,1,27.0,27.0,,4.19,6.0,
1,2016,NC,플옵,21,P,1,1,0,0,0,0,0,0,0,0,1.0,1,1,1.0,8,0,0,0,0,5,0,0,0,0,0,0,9.0,9.0,,20.19,5.0,
2,2017,NC,플옵,22,P,2,1,1,0,0,0,0,0,0,0,4.1,5,5,5.0,24,7,1,0,1,3,2,0,8,0,0,0,10.38,10.38,,5.99,2.31,
3,2017,NC,준플,22,P,1,1,0,0,0,0,0,1,0,0,7.0,0,1,1.0,29,3,1,0,0,5,0,0,4,1,0,0,0.0,1.29,,5.02,1.14,
4,2022,KIA,와카,27,P,1,0,1,1,0,0,0,0,0,0,0.1,0,0,1.55,2,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,,3.74,3.0,
5,2024,KIA,한국,29,P,5,0,5,0,0,0,0,0,0,1,5.0,0,0,0.0,18,1,0,0,0,3,0,0,3,0,0,0,0.0,0.0,,4.56,0.8,
