,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2012,삼성,한국,19,P,2,0,2,0,0,0,0,0,0,2,1.0,0,0,0.0,5,0,,,0,2,0,0,0,,0,1,0.0,0.0,,,2.0,
1,2013,삼성,한국,20,P,4,0,4,1,0,0,1,0,0,0,3.0,0,3,3.0,16,4,0.0,0.0,0,2,0,0,5,1.0,0,0,0.0,9.0,,1.72,2.0,
2,2014,삼성,한국,21,P,3,0,3,0,0,0,0,0,0,0,2.2,0,0,0.0,9,0,0.0,0.0,0,1,0,0,4,1.0,0,0,0.0,0.0,,1.66,0.38,
3,2015,삼성,한국,22,P,4,0,4,0,0,0,0,0,0,0,2.0,2,3,4.2,16,4,1.0,0.0,0,4,1,0,1,0.0,0,0,9.0,13.5,,10.8,4.0,
4,2021,삼성,플옵,28,P,1,0,1,0,0,0,0,0,0,0,1.1,1,1,1.0,7,1,0.0,0.0,0,3,0,0,1,0.0,0,0,6.75,6.75,,9.04,3.0,
