,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2017,롯데,준플,28,P,3,0,3,0,0,0,0,1,0,0,2.2,4,4,3.5,14,6,2,0,0,1,0,0,2,0,0,1,13.5,13.5,,3.49,2.63,
1,2021,KT,한국,32,P,1,0,1,0,0,0,0,0,0,1,0.2,0,0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,-0.04,0.0,
