,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2020,두산,한국,25,P,5,0,5,2,0,0,0,0,1,1,6.2,2,2,2.85,28,7,2,0,0,2,0,0,6,0,0,0,2.70,2.70,,2.66,1.35,
1,2020,두산,플옵,25,P,2,0,2,1,0,0,0,0,0,1,1.1,0,0,0.00,5,1,0,0,0,1,0,0,2,0,0,0,0.00,0.00,,2.60,1.50,
2,2020,두산,준플,25,P,2,0,2,0,0,0,0,0,0,1,1.0,1,1,1.70,6,1,1,0,0,2,0,0,1,0,0,0,9.00,9.00,,7.85,3.00,
3,2021,두산,한국,26,P,3,0,3,1,0,0,0,0,0,0,3.0,2,2,1.50,11,2,1,0,0,0,0,0,0,0,0,0,6.00,6.00,,3.71,0.67,
4,2021,두산,준플,26,P,1,0,1,0,0,0,0,0,0,0,0.1,3,3,2.50,4,2,0,0,0,1,0,0,0,0,0,2,81.00,81.00,,13.31,9.00,
