,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,0,0,2016,LG,플옵,30,P,4,0,4,1,0,0,0,0,0,1,2.1,0,0,0.0,9,3,0,0,0,0,0,0,2,0,0,0,0.0,0.0,,2.05,1.29,
1,1,1,2016,LG,준플,30,P,2,0,2,0,0,0,0,0,0,0,1.0,0,0,0.0,5,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,,4.19,1.0,
2,2,2,2019,LG,준플,33,P,3,0,3,1,0,0,1,0,0,0,3.0,1,1,1.5,12,2,1,0,0,0,0,0,1,0,0,0,3.0,3.0,,2.93,0.67,
3,3,3,2020,LG,준플,34,P,2,0,2,0,0,0,0,0,0,0,2.0,4,4,5.05,10,5,0,0,1,0,0,0,1,0,0,0,18.0,18.0,,8.65,2.5,
4,4,4,2020,LG,와카,34,P,1,0,1,0,0,0,0,0,0,0,0.1,0,0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,,13.55,0.0,
5,5,5,2021,LG,준플,35,P,2,0,2,0,0,0,0,0,0,0,0.2,0,1,1.7,6,4,0,0,0,0,0,0,1,1,0,0,0.0,13.5,,-0.04,6.0,
6,6,6,2022,LG,플옵,36,P,2,0,2,0,0,0,0,0,0,0,0.2,3,3,2.5,6,2,1,0,0,1,1,0,0,0,0,0,40.5,40.5,,13.34,4.5,
