,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2019,NC,와카,24,LF,,,1,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,,,
1,2022,키움,한국,27,1B,,,6,25,24,21,4,7,1,0,0,8,4,0,0,3,0,0,2,0,1,0,0.333,0.417,0.381,0.798,,,
2,2022,키움,플옵,27,1B,,,4,16,15,14,1,5,0,0,0,5,2,0,0,1,0,0,0,0,1,0,0.357,0.400,0.357,0.757,,,
3,2022,키움,준플,27,1B,,,3,10,10,10,1,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0.200,0.200,0.200,0.400,,,
