,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,0,0,2020,키움,와카,29,RF,,,1,6,6,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.167,0.0,0.167,,,
1,1,1,2022,키움,한국,31,RF,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2,2,2,2022,키움,플옵,31,RF,,,3,5,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,,,
