,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2021,LG,준플,27,3B,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,,,
1,2023,LG,한국,29,SS,,,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.0,,,,,
