,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2022,키움,한국,20,SS,,,6,10,10,8,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.0,0.2,0.0,0.2,,,
1,2022,키움,플옵,20,SS,,,4,15,15,14,1,2,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0.143,0.2,0.143,0.343,,,
2,2022,키움,준플,20,SS,,,4,11,10,8,4,3,0,0,1,6,2,0,0,1,1,0,3,0,1,0,0.375,0.5,0.75,1.25,,,
