,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,0,0,2009,두산,플옵,23,3B,,,4,15,15,15,0,4,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0.267,0.267,0.267,0.534,,,
1,1,1,2009,두산,준플,23,3B,,,4,13,12,11,1,4,0,0,0,4,1,0,0,1,0,0,2,0,1,0,0.364,0.417,0.364,0.781,,,
2,2,2,2010,두산,플옵,24,3B,,,5,21,20,19,2,4,0,0,0,4,1,0,0,1,0,0,3,0,1,0,0.211,0.25,0.211,0.461,,,
3,3,3,2010,두산,준플,24,3B,,,4,15,14,12,2,5,1,0,0,6,3,1,0,2,0,0,1,0,1,0,0.417,0.5,0.5,1.0,,,
4,4,4,2012,두산,준플,26,3B,,,4,18,17,17,0,4,2,0,0,6,2,0,1,1,0,1,1,1,0,0,0.235,0.278,0.353,0.631,,,
5,5,5,2013,두산,한국,27,3B,,,4,9,9,8,0,2,0,1,0,4,2,0,0,1,0,0,1,0,0,0,0.25,0.333,0.5,0.833,,,
6,6,6,2013,두산,플옵,27,3B,,,4,15,15,14,1,3,1,0,0,4,1,0,0,1,0,0,3,0,0,0,0.214,0.267,0.286,0.553,,,
7,7,7,2013,두산,준플,27,3B,,,5,24,23,21,4,7,1,0,1,11,4,0,0,1,1,0,3,1,1,0,0.333,0.391,0.524,0.915,,,
8,8,8,2021,삼성,플옵,35,3B,,,2,7,7,7,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.429,0.858,,,
