,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2016,KIA,와카,26,RF,,,2,7,7,6,1,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0.167,0.286,0.167,0.453,,,
1,2017,SK,와카,27,RF,,,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,,,
2,2019,SK,플옵,29,LF,,,3,9,9,9,3,5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0.556,0.556,0.556,1.112,,,
