,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2017,KIA,한국,28,C,,,5,14,13,12,1,2,1,0,0,3,0,0,0,1,0,0,2,0,1,0,0.167,0.231,0.25,0.481,,,
1,2018,KIA,와카,29,C,,,1,3,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,0.667,0.5,1.167,,,
2,2022,SSG,한국,33,C,,,4,9,9,8,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.25,0.333,0.25,0.583,,,
3,2023,SSG,준플,34,C,,,3,6,5,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0.0,0.2,0.0,0.2,,,
