,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2017,롯데,준플,28,SS,,,5,14,14,14,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.143,0.143,0.143,0.286,,,
1,2021,KT,한국,32,SS,,,3,7,6,6,1,1,0,0,1,4,1,0,0,0,0,0,1,0,1,0,0.167,0.167,0.667,0.834,,,
2,2022,KT,준플,33,SS,,,5,7,7,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,,,
3,2023,KT,한국,34,SS,,,4,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,,,
4,2023,KT,플옵,34,SS,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
