,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2017,두산,한국,23,SS,,,3,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.000,0.000,0.000,0.000,,,
1,2017,두산,플옵,23,SS,,,4,17,17,13,2,3,1,0,0,4,1,0,0,1,3,0,6,0,0,0,0.231,0.412,0.308,0.720,,,
2,2018,두산,한국,24,SS,,,4,7,7,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.143,0.000,0.143,,,
3,2019,두산,한국,25,SS,,,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,,,
4,2022,KIA,와카,28,3B,,,1,5,5,4,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.250,0.400,0.500,0.900,,,
5,2024,삼성,한국,30,2B,0.09,,5,19,17,15,3,6,2,0,0,8,0,1,0,2,0,0,4,0,2,0,0.400,0.471,0.533,1.004,,,
6,2024,삼성,플옵,30,2B,0.04,,3,9,9,7,1,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0.429,0.556,0.429,0.985,,,
