,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2015,SSG,와카,28,LF,,,1,6,6,5,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0.4,0.5,0.4,0.9,,,
1,2017,KIA,한국,30,RF,,,5,24,23,22,3,8,2,0,0,10,2,0,1,1,0,0,1,0,1,0,0.364,0.391,0.455,0.846,,,
2,2019,NC,와카,32,RF,,,1,4,4,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,,,
3,2020,NC,한국,33,LF,,,6,24,22,21,0,4,0,0,0,4,2,0,0,1,0,0,0,0,2,0,0.19,0.227,0.19,0.417,,,
