,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2017,SSG,와카,25,CF,,,1,2,2,2,2,2,0,0,2,8,3,0,0,0,0,0,0,0,0,0,1.0,1.0,4.0,5.0,,,
1,2018,SSG,플옵,26,CF,,,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
