,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2018,키움,플옵,21,C,,,5,10,10,9,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.111,0.2,0.111,0.311,,,
1,2018,키움,준플,21,C,,,1,2,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,,,
2,2019,키움,준플,22,C,,,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
