,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2017,SSG,23,P,2,0,2,2,0,0,0,0,0,0,3.0,3,3,3.0,15,2,1,0,0,4,0,0,3,0,0,0,9.0,9.0,9.0,5.84,2.0,-0.01
1,2020,SSG,26,P,57,0,57,4,0,0,1,1,1,10,47.1,27,30,31.0,226,37,8,1,5,45,8,1,42,2,0,6,5.13,5.7,5.89,6.5,1.73,0.27
2,2021,SSG,27,P,6,6,0,0,0,0,0,1,0,0,17.1,19,20,19.65,92,20,1,0,5,20,4,0,21,0,0,1,9.87,10.38,10.2,8.46,2.31,-0.39
3,2022,KIA,28,P,31,0,31,7,0,0,3,0,0,2,27.0,21,21,22.4,128,23,5,2,2,24,4,0,23,0,0,3,7.0,7.0,7.47,5.75,1.74,-0.43
4,2024,KIA,30,P,23,2,21,10,0,0,0,1,1,0,37.0,19,29,30.05,173,40,6,2,2,25,5,0,36,1,0,4,4.62,7.05,7.31,4.92,1.76,-0.01
