,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2018,KT,19,P,2,0,2,1,0,0,0,0,0,0,2.0,3,3,3.00,13,5,1,0,0,2,0,0,2,0,0,0,13.50,13.50,13.50,4.95,3.50,-0.04
1,2019,KT,20,P,1,0,1,1,0,0,0,0,0,0,1.0,0,1,1.00,4,0,0,0,0,2,0,0,0,0,0,0,0.00,9.00,9.00,10.01,2.00,-0.01
2,2022,롯데,23,P,5,0,5,1,0,0,0,0,0,0,2.1,6,8,6.45,20,7,3,0,0,6,0,0,3,0,0,0,23.14,30.86,24.88,8.54,5.57,-0.30
3,2023,롯데,24,P,28,0,28,9,0,0,1,0,0,1,29.0,22,22,20.15,143,37,11,3,1,21,0,1,20,0,0,4,6.83,6.83,6.25,4.78,2.00,0.04
4,2024,롯데,25,P,23,0,23,11,0,0,3,0,0,0,24.2,20,22,27.85,126,40,6,1,3,16,1,1,17,1,0,1,7.30,8.03,10.16,6.06,2.27,-0.70
