,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2015,KT,19,P,20,15,5,0,0,0,2,6,0,0,58.0,55,58,54.75,300,81,15,0,12,51,1,0,41,3,1,2,8.53,9.0,8.5,7.57,2.28,-0.14
1,2016,KT,20,P,28,9,19,5,0,0,0,7,0,0,66.1,43,52,47.55,304,72,16,1,4,33,6,1,46,5,2,3,5.83,7.06,6.45,5.0,1.58,0.41
2,2017,KT,21,P,26,20,6,1,0,0,3,12,0,0,107.2,97,99,96.45,511,151,31,1,20,41,6,0,72,3,1,8,8.11,8.28,8.06,6.1,1.78,-0.39
3,2018,KT,22,P,24,0,24,0,0,0,1,0,0,5,24.1,8,8,9.2,104,23,1,0,3,11,0,0,23,0,0,0,2.96,2.96,3.4,4.85,1.4,0.89
4,2019,KT,23,P,52,0,52,20,0,0,3,3,8,11,53.2,33,36,40.45,248,64,16,2,7,22,2,3,40,4,0,2,5.53,6.04,6.78,4.71,1.6,-0.86
5,2022,SSG,26,P,2,0,2,0,0,0,0,0,0,0,2.2,3,3,3.35,13,1,0,0,1,3,1,0,3,0,0,0,10.13,10.13,11.31,10.08,1.5,-0.08
6,2023,SSG,27,P,6,0,6,3,0,0,0,0,0,0,4.1,5,9,9.85,29,8,3,0,2,7,0,0,3,1,0,0,10.38,18.69,20.46,12.62,3.46,-0.36
