,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2019,SK,20,P,1,0,1,1,0,0,0,0,0,0,1.0,1,1,1.00,6,2,0,0,0,1,0,0,0,0,0,0,9.00,9.00,9.00,6.91,3.00,-0.01
1,2023,두산,24,P,7,0,7,5,0,0,0,0,0,0,6.2,7,7,8.05,38,11,2,0,1,7,0,0,6,0,0,0,9.45,9.45,10.87,6.64,2.70,-0.21
2,2024,두산,25,P,1,0,1,0,0,0,0,0,0,0,0.1,3,3,2.50,4,3,2,0,0,0,0,0,0,0,0,0,81.00,81.00,67.50,4.20,9.00,-0.13
