,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2015,KIA,23,P,8,4,4,3,0,0,1,3,0,0,27.2,30,32,30.45,133,44,9,4,7,10,1,0,15,1,0,0,9.76,10.41,9.91,6.98,1.95,-0.42
1,2018,KIA,26,P,32,0,32,11,0,0,0,3,0,0,55.1,29,29,31.35,240,62,13,0,10,17,2,2,46,0,1,3,4.72,4.72,5.1,5.37,1.43,0.96
2,2019,KIA,27,P,54,0,54,43,0,0,1,2,24,0,55.0,8,9,16.05,217,45,9,1,2,10,0,1,50,1,0,0,1.31,1.47,2.63,2.48,1.0,2.37
3,2020,KIA,28,P,25,0,25,20,0,0,0,2,10,0,24.0,14,15,15.35,109,29,5,1,6,6,2,0,26,0,0,0,5.25,5.63,5.76,5.3,1.46,0.22
4,2020,NC,28,P,31,0,31,3,0,0,0,3,0,11,28.0,15,20,16.7,116,22,5,0,5,9,0,0,18,2,0,0,4.82,6.43,5.37,5.51,1.11,0.32
5,2021,NC,29,P,35,0,35,8,0,0,0,1,0,4,31.0,17,20,16.75,142,25,6,0,6,20,0,1,25,4,0,1,4.94,5.81,4.86,6.05,1.45,0.47
6,2022,롯데,30,P,38,0,38,18,0,0,1,2,0,1,40.1,26,27,33.05,184,51,11,0,7,13,1,1,31,1,1,2,5.8,6.02,7.37,4.63,1.59,-0.17
7,2023,롯데,31,P,2,0,2,1,0,0,0,1,0,0,2.0,6,6,6.0,12,6,0,0,3,0,0,0,2,0,0,0,27.0,27.0,27.0,19.2,3.0,-0.68
