,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2021,SSG,23,P,3,0,3,1,0,0,0,0,0,0,5.0,4,7,7.70,27,8,0,0,2,3,0,0,3,1,0,1,7.20,12.60,13.86,8.89,2.20,-0.16
1,2022,KT,24,P,38,0,38,6,0,0,5,0,0,3,36.2,12,13,15.95,156,28,11,0,0,13,6,2,32,2,0,2,2.95,3.19,3.92,3.12,1.12,0.76
2,2023,KT,25,P,25,0,25,5,0,0,0,1,0,1,24.2,19,19,18.50,110,26,6,0,6,9,3,0,8,1,0,1,6.93,6.93,6.75,7.44,1.42,-0.05
3,2024,KT,26,P,9,0,9,1,0,0,0,0,0,0,6.2,7,7,7.00,37,13,0,1,2,3,1,0,5,0,0,1,9.45,9.45,9.45,7.75,2.40,-0.13
