,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2020,LG,20,P,6,3,3,3,0,0,0,0,0,0,18.1,8,9,9.0,82,13,3,1,1,12,1,0,14,1,0,0,3.93,4.42,4.42,4.93,1.36,0.25
1,2021,두산,21,P,5,0,5,1,0,0,0,1,0,0,2.2,3,3,2.0,13,3,1,0,0,3,0,0,2,0,0,0,10.13,10.13,6.75,5.38,2.25,-0.03
