,id,date,from,to,statizId,trade type,resource,주포지션,before_regular_war_sum,after_regular_war_sum,before_regular_owar_sum,after_regular_owar_sum,before_regular_dwar_sum,after_regular_dwar_sum,before_regular_win_sum,after_regular_win_sum,before_regular_lose_sum,after_regular_lose_sum,before_regular_hold_sum,after_regular_hold_sum,before_regular_save_sum,after_regular_save_sum,before_regular_era_avg,after_regular_era_avg,before_regular_whip_avg,after_regular_whip_avg
39,17,2021-07-31,KT,롯데,14601,player,이강준,P,-0.23,-0.39,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.925,10.427,2.55,2.876
40,17,2021-07-31,롯데,KT,10835,player,김준태,C,1.31,2.24,2.03,2.7,-0.71,-0.48,,,,,,,,,,,,
41,17,2021-07-31,롯데,KT,11397,player,오윤석,2B,-0.23,4.77,0.39,3.35,-0.61,1.45,,,,,,,,,,,,
42,18,2021-12-13,NC,삼성,10459,player,김태군,C,4.8,2.44,0.94,1.84,3.85,0.6,,,,,,,,,,,,
43,18,2021-12-13,삼성,NC,10720,player,심창민,P,10.84,0.32,,,,,30.0,4.0,26.0,5.0,80.0,16.0,51.0,0.0,4.243,6.26,1.316,1.723
44,18,2021-12-13,삼성,NC,10890,player,김응민,C,-0.49,-0.62,-0.38,-0.59,-0.12,-0.04,,,,,,,,,,,,
45,19,2022-01-24,삼성,롯데,14114,player,이학주,SS,2.92,-1.41,2.64,0.3,0.28,-1.71,,,,,,,,,,,,
46,19,2022-01-24,롯데,삼성,13152,player,최하늘,P,-0.29,-0.6,,,,,0.0,2.0,1.0,8.0,0.0,2.0,0.0,0.0,27.0,7.477,3.0,1.609
47,20,2022-04-23,한화,KIA,14128,player,김도현,P,0.93,1.22,,,,,6.0,4.0,11.0,7.0,0.0,3.0,0.0,0.0,8.592,7.396,4.155,4.052
48,20,2022-04-23,KIA,한화,13003,player,이민우,P,-0.49,1.07,,,,,12.0,5.0,27.0,3.0,6.0,12.0,1.0,1.0,6.611,4.043,1.777,1.419
49,20,2022-04-23,KIA,한화,12539,player,이진영,RF,-0.49,2.31,-0.19,1.76,-0.3,0.55,,,,,,,,,,,,
50,21,2022-04-24,키움,KIA,10387,player,박동원,C,13.62,8.09,12.58,7.53,1.06,0.57,,,,,,,,,,,,
51,21,2022-04-24,KIA,키움,11244,player,김태진,CF,-1.04,-1.01,-0.51,-1.44,-0.54,0.42,,,,,,,,,,,,
52,22,2022-05-09,KIA,SSG,10707,player,김민식,C,1.14,1.97,2.09,1.74,-0.95,0.23,,,,,,,,,,,,
53,22,2022-05-09,SSG,KIA,11364,player,김사윤,P,-0.13,-0.83,,,,,1.0,3.0,2.0,2.0,10.0,2.0,1.0,1.0,5.687,6.375,1.792,1.805
54,22,2022-05-09,SSG,KIA,12612,player,임석진,3B,-0.04,-0.09,-0.09,-0.12,0.05,0.03,,,,,,,,,,,,
55,23,2022-05-21,LG,KT,11214,player,장준원,SS,-0.3,0.22,-0.59,-0.09,0.3,0.31,,,,,,,,,,,,
56,24,2022-05-22,SSG,KT,13130,player,이채호,P,-0.16,0.42,,,,,0.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,7.2,5.227,2.2,1.417
