,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2019-05-01,SS,0,한화,패배, 1:4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
1,2019-05-03,SS,1,LG,승리, 2:7,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
2,2019-05-04,SS,1,LG,승리, 2:3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
3,2019-05-05,SS,1,LG,승리, 2:11,3,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,-0.32,0.000
4,2019-05-07,SS,1,KIA,승리, 3:4,9,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,1.38,0.24,0.072
5,2019-05-08,SS,1,KIA,승리, 0:1,9,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,9,0.92,-0.36,-0.049
6,2019-05-09,SS,1,KIA,패배, 5:3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
7,2019-05-10,SS,0,NC,패배, 11:12,8,8,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,7,1.55,0.90,-0.115
8,2019-05-11,SS,0,NC,승리, 12:0,8,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.125,0.125,0.125,0.250,9,0.55,-0.50,-0.030
9,2019-05-25,SS,1,한화,승리, 4:7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.250,0,,,
10,2019-05-26,SS,1,한화,승리, 1:2,5,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,2,0.29,-0.10,-0.007
11,2019-05-30,SS,1,삼성,패배, 2:1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,0,,,
12,2019-05-31,SS,0,KT,패배, 2:3,8,7,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.154,0.154,0.154,0.308,13,1.06,-0.94,-0.088
13,2019-06-01,SS,0,KT,패배, 3:13,4,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.143,0.286,3,0.00,-0.16,0.000
14,2019-06-04,SS,0,KIA,승리, 7:2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0,,,
15,2019-06-05,SS,0,KIA,승리, 5:4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0,,,
16,2019-06-06,SS,0,KIA,패배, 3:12,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0,,,
17,2019-06-07,SS,1,키움,승리, 1:7,1,9,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,5,0.09,1.00,0.007
18,2019-06-11,SS,0,한화,패배, 1:4,9,9,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.222,0.222,0.222,0.444,13,1.89,-0.73,-0.117
19,2019-06-12,SS,0,한화,승리, 9:6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,
20,2019-06-13,SS,0,한화,승리, 7:2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,
21,2019-06-15,SS,1,LG,패배, 4:3,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,
22,2019-06-16,SS,1,LG,승리, 3:5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,
23,2019-06-20,SS,1,NC,승리, 2:14,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,
24,2019-06-21,SS,0,SK,패배, 1:14,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.211,0.211,0.422,2,0.00,-0.10,0.000
25,2019-08-16,SS,1,LG,승리, 4:7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.211,0.211,0.422,0,,,
26,2019-08-17,SS,1,롯데,승리, 2:9,6,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,1,0.01,-0.33,0.000
27,2019-08-18,SS,1,롯데,승리, 3:11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0,,,
28,2019-08-22,SS,0,삼성,승리, 13:1,1,9,0,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.227,0.227,0.273,0.500,10,0.01,0.98,0.000
29,2019-08-23,SS,0,삼성,승리, 8:4,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.227,0.273,0.500,0,,,
30,2019-08-24,SS,0,한화,승리, 13:3,4,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.217,0.261,0.478,2,0.00,-0.16,0.000
31,2019-08-25,SS,0,한화,승리, 3:2,4,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.192,0.192,0.231,0.423,12,1.27,-1.02,-0.112
32,2020-06-23,SS,1,두산,패배, 9:2,2,8,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.04,0.49,0.001
33,2020-06-25,SS,1,두산,패배, 14:6,1,8,1,5,5,2,4,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0.833,0.833,1.000,1.833,10,0.78,2.30,0.230
