,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2013,삼성,한국,19,SS,3,0,9.0,2,1,1,0,100.0,2.0,,,,,,,,,,,,,,
1,2019,SSG,플옵,25,2B,1,1,5.0,4,1,2,1,75.0,5.4,,,,,,,,,,,,,,
