,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2016,KIA,와카,26,CF,1,1,7.0,1,1,0,0,100.0,1.29,,,,,,,,,,,,,,
1,2016,KIA,와카,26,RF,2,1,10.2,4,4,0,0,100.0,3.38,,,,,,,,,,,,,,
2,2017,SSG,와카,27,CF,1,1,8.0,3,3,0,0,100.0,3.38,,,,,,,,,,,,,,
3,2019,SSG,플옵,29,LF,3,2,19.0,7,6,0,1,85.7,2.84,,,,,,,,,,,,,,
4,2019,SSG,플옵,29,RF,1,1,5.0,1,1,0,0,100.0,1.8,,,,,,,,,,,,,,
