,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2023,KT,한국,28,3B,1,0,2.0,1,0,1,0,100.0,4.50,,,,,,,,,,,,,,
1,2023,KT,플옵,28,2B,1,0,3.0,2,1,1,0,100.0,6.00,,,,,,,,,,,,,,
