,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2009,두산,플옵,23,3B,4,,,,,,0,,,,,,,,,,,,,,,,
1,1,1,2009,두산,준플,23,3B,4,,,,,,1,,,,,,,,,,,,,,,,
2,2,2,2010,두산,플옵,24,3B,5,,,,,,0,,,,,,,,,,,,,,,,
3,3,3,2010,두산,준플,24,3B,4,,,,,,1,,,,,,,,,,,,,,,,
4,4,4,2012,두산,준플,26,3B,4,,,,,,0,,,,,,,,,,,,,,,,
5,5,5,2013,두산,한국,27,3B,4,3.0,19.0,7.0,0.0,5.0,2,71.4,2.37,,,,,,,,,,,,,,
6,6,6,2013,두산,플옵,27,3B,4,4.0,35.0,9.0,5.0,3.0,1,88.9,2.06,,,,,,,,,,,,,,
7,7,7,2013,두산,준플,27,3B,5,5.0,54.0,10.0,0.0,10.0,0,100.0,1.67,,,,,,,,,,,,,,
8,8,8,2021,삼성,플옵,35,3B,2,2.0,13.0,4.0,0.0,3.0,1,75.0,2.08,,,,,,,,,,,,,,
