,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2017,KIA,한국,28,C,5,4,36.0,35,33,2,0,100.0,8.75,,,,,,,,,,,,,,
1,1,1,2018,KIA,와카,29,C,1,1,7.0,10,6,2,2,80.0,10.29,,,,,,,,,,,,,,
2,2,2,2022,SSG,한국,33,C,4,2,24.0,18,18,0,0,100.0,6.75,,,,,,,,,,,,,,
3,3,3,2023,SSG,준플,34,C,3,3,19.0,14,14,0,0,100.0,6.63,,,,,,,,,,,,,,
