,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2015,SK,와카,28,LF,1,1,10.2,2,2,0,0,100.0,1.69,,,,,,,,,,,,,,
1,2017,KIA,한국,30,LF,4,1,12.1,5,5,0,0,100.0,3.65,,,,,,,,,,,,,,
2,2017,KIA,한국,30,RF,4,4,32.2,12,11,0,1,91.7,3.03,,,,,,,,,,,,,,
3,2019,NC,와카,32,LF,1,1,8.0,0,0,0,0,,0.00,,,,,,,,,,,,,,
4,2020,NC,한국,33,LF,1,1,5.0,1,1,0,0,100.0,1.80,,,,,,,,,,,,,,
