,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2016,LG,플옵,25,1B,2,1,10.1,13,11,2,0,100.0,11.32,,,,,,,,,,,,,,
1,1,1,2016,LG,준플,25,1B,3,3,27.0,35,32,3,0,100.0,11.67,,,,,,,,,,,,,,
2,2,2,2016,LG,와카,25,1B,2,1,10.0,13,11,2,0,100.0,11.7,,,,,,,,,,,,,,
3,3,3,2021,두산,한국,30,1B,4,4,34.0,28,28,0,0,100.0,7.41,,,,,,,,,,,,,,
4,4,4,2021,두산,플옵,30,1B,2,2,16.0,18,16,2,0,100.0,10.13,,,,,,,,,,,,,,
5,5,5,2021,두산,준플,30,1B,3,3,25.0,23,19,3,1,95.7,7.92,,,,,,,,,,,,,,
6,6,6,2021,두산,와카,30,1B,2,2,16.0,13,12,1,0,100.0,7.31,,,,,,,,,,,,,,
7,7,7,2023,두산,와카,32,1B,1,1,8.0,7,7,0,0,100.0,7.88,,,,,,,,,,,,,,
8,8,8,2024,두산,와카,33,1B,2,2,18.0,15,13,2,0,100.0,7.5,,,,,,,,,,,,,,
