,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2022,SSG,한국,31,1B,5,2,21.0,25,22,3,0,100.0,10.71,,,,,,,,,,,,,,
1,2022,SSG,한국,31,CF,1,0,1.0,1,1,0,0,100.0,9.00,,,,,,,,,,,,,,
2,2023,SSG,준플,32,1B,2,2,16.0,14,13,1,0,100.0,7.88,,,,,,,,,,,,,,
