,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2020,키움,와카,29,CF,1,1,12.2,4,4,0,0,100.0,2.84,,,,,,,,,,,,,,
1,1,1,2022,키움,한국,31,LF,1,0,2.0,0,0,0,0,,0.0,,,,,,,,,,,,,,
2,2,2,2022,키움,플옵,31,LF,2,1,8.0,3,3,0,0,100.0,3.38,,,,,,,,,,,,,,
3,3,3,2022,키움,준플,31,RF,1,0,2.0,0,0,0,0,,0.0,,,,,,,,,,,,,,
