,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2022,KT,준플,30,1B,2,0,3.0,1,1,0,0,100.0,3.0,,,,,,,,,,,,,,
1,1,1,2022,KT,준플,30,2B,2,1,11.0,8,4,3,1,87.5,5.73,,,,,,,,,,,,,,
2,2,2,2022,KT,와카,30,1B,1,0,2.2,1,1,0,0,100.0,3.38,,,,,,,,,,,,,,
3,3,3,2023,KT,한국,31,2B,4,2,20.0,18,7,11,0,100.0,8.1,,,,,,,,,,,,,,
4,4,4,2023,KT,플옵,31,2B,3,2,15.0,7,1,6,0,100.0,4.2,,,,,,,,,,,,,,
5,5,5,2024,KT,준플,32,1B,4,0,7.2,10,9,0,1,90.0,10.57,,,,,,,,,,,,,,
6,6,6,2024,KT,준플,32,2B,4,3,23.1,20,5,15,0,100.0,7.71,,,,,,,,,,,,,,
7,7,7,2024,KT,와카,32,1B,1,0,2.0,2,2,0,0,100.0,9.0,,,,,,,,,,,,,,
8,8,8,2024,KT,와카,32,2B,2,2,16.0,5,2,2,1,80.0,2.25,,,,,,,,,,,,,,
