,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2017,롯데,준플,28,3B,4,4,27.0,8,0,8,0,100.0,2.67,,,,,,,,,,,,,,
1,2017,롯데,준플,28,SS,2,0,7.0,1,1,0,0,100.0,1.29,,,,,,,,,,,,,,
2,2021,KT,한국,32,2B,3,1,11.2,4,2,2,0,100.0,3.09,,,,,,,,,,,,,,
3,2022,KT,준플,33,2B,1,0,2.0,2,0,2,0,100.0,9.00,,,,,,,,,,,,,,
4,2022,KT,준플,33,3B,2,0,4.0,2,2,0,0,100.0,4.50,,,,,,,,,,,,,,
5,2022,KT,준플,33,SS,3,1,14.0,4,1,3,0,100.0,2.57,,,,,,,,,,,,,,
6,2023,KT,한국,34,2B,2,1,5.0,3,2,1,0,100.0,5.40,,,,,,,,,,,,,,
7,2023,KT,한국,34,SS,1,0,2.2,2,0,2,0,100.0,6.75,,,,,,,,,,,,,,
8,2023,KT,플옵,34,SS,1,0,2.0,0,0,0,0,,0.00,,,,,,,,,,,,,,
