,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2019,키움,한국,29,1B,1,0,1.1,2,2,0,0,100.0,13.5,,,,,,,,,,,,,,
1,1,1,2019,키움,플옵,29,1B,1,0,2.0,0,0,0,0,,0.0,,,,,,,,,,,,,,
2,2,2,2019,키움,플옵,29,3B,1,1,5.0,2,0,2,0,100.0,3.6,,,,,,,,,,,,,,
