,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2018,키움,플옵,21,C,5,3,30.1,34,34,0,0,100.0,10.09,,,,,,,,,,,,,,
1,2018,키움,준플,21,C,1,1,4.0,6,5,1,0,100.0,13.5,,,,,,,,,,,,,,
2,2019,키움,한국,22,C,1,0,1.0,1,1,0,0,100.0,9.0,,,,,,,,,,,,,,
3,2019,키움,준플,22,C,2,1,2.1,0,0,0,0,,0.0,,,,,,,,,,,,,,
