,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2014,두산,23,C,10,2,32.2,18,17,1,0,100.0,4.96,0.0,,0.15,,,-0.26,1.32,,0.82,10.75,0.26,1.09,0.073,0.096
1,2015,두산,24,C,1,0,0.2,1,1,0,0,100.0,13.5,,,0.0,,,,0.0,,0.0,0.17,0.02,0.03,0.0,0.003
2,2018,삼성,27,C,1,0,1.0,0,0,0,0,,0.0,,,0.0,,,,0.0,,0.0,0.51,,,0.0,
3,2019,삼성,28,C,8,2,29.1,25,24,1,0,100.0,7.67,-0.16,,0.09,,,,-0.61,,-0.49,-8.86,0.29,-0.2,-0.051,-0.021
4,2020,삼성,29,C,43,21,212.1,177,167,8,2,98.9,7.42,-0.21,,-0.33,,0.25,-1.21,0.95,,-0.84,-2.67,1.97,1.13,-0.079,0.106
5,2021,삼성,30,C,1,1,7.0,4,4,0,0,100.0,5.14,0.0,,0.02,,,0.0,0.12,,0.11,15.25,0.05,0.15,0.01,0.015
6,2022,NC,31,C,34,17,179.2,181,163,17,1,99.4,9.02,0.3,,0.06,,0.09,-0.13,-1.12,,-0.47,-1.97,1.7,1.24,-0.048,0.128
