,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2009,LG,19,P,3,,,,,,0,,,,,,,,,,,,,,,,
1,2014,LG,24,P,50,0.0,52.1,14.0,3.0,11.0,0,100.0,2.41,,,,,,,,,0.0,0.0,,,0.0,
2,2017,LG,27,P,60,0.0,61.2,15.0,1.0,11.0,3,80.0,1.75,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,2019,LG,29,P,13,0.0,11.0,0.0,0.0,0.0,0,,0.0,,,,,,,,,0.0,0.0,,,0.0,
