,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2015,KT,21,P,49,1,56.1,13,4,8,1,92.3,1.92,,,,,,,,,0.0,0.0,,,0.0,
1,1,1,2016,KT,22,P,58,0,54.1,8,0,7,1,87.5,1.16,,,,,,,,,0.0,0.0,,,0.0,
2,2,2,2017,KT,23,P,62,2,74.2,21,3,14,4,81.0,2.05,,,,,,,,,0.0,0.0,,,0.0,
3,3,3,2018,KT,24,P,44,0,41.0,7,1,4,2,71.4,1.1,,,,,,,,,0.0,,,,0.0,
4,4,4,2021,KT,27,P,28,2,46.2,6,2,4,0,100.0,1.16,,,,,,,,,0.0,0.0,,,0.0,
5,5,5,2022,KT,28,P,42,1,43.1,11,4,7,0,100.0,2.28,,,,,,,,,0.0,0.0,,,0.0,
