,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2019,두산,24,LF,15,1,37.0,6,6,0,0,100.0,1.46,1.7,0.06,0.04,,,,,,1.8,8.09,-0.09,1.71,0.185,0.176
1,1,1,2019,두산,24,CF,7,3,23.2,6,6,0,0,100.0,2.28,-1.72,-1.18,0.03,,,,,,-2.86,-12.89,0.0,-2.86,-0.295,-0.295
2,2,2,2019,두산,24,RF,7,0,13.1,5,5,0,0,100.0,3.38,0.78,0.49,0.02,,,,,,1.29,5.83,-0.04,1.25,0.133,0.129
3,3,3,2020,SSG,25,LF,27,11,131.0,27,27,0,0,100.0,1.85,-1.44,0.95,0.17,,,,,,-0.32,-0.82,-0.57,-0.89,-0.03,-0.083
4,4,4,2020,SSG,25,CF,11,3,35.0,14,13,1,0,100.0,3.6,0.35,-0.8,0.04,,,,,,-0.4,-1.04,0.0,-0.4,-0.038,-0.038
5,5,5,2020,SSG,25,RF,15,6,62.0,9,9,0,0,100.0,1.31,0.41,-0.57,0.09,,,,,,-0.07,-0.19,-0.28,-0.35,-0.007,-0.033
