,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2015,KIA,19,P,18,4,42.1,11,3,7,1,90.9,2.13,,,,,,,,,0.0,0.0,,,0.0,
1,2022,두산,26,P,12,0,19.2,3,1,2,0,100.0,1.37,,,,,,,,,0.0,0.0,,,0.0,
2,2023,두산,27,P,25,0,36.2,9,2,7,0,100.0,2.21,,,,,,,,,0.0,0.0,,,0.0,
3,2024,두산,28,P,28,1,29.2,3,0,2,1,66.7,0.61,,,,,,,,,0.0,0.0,,,0.0,
