,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
42,42,42,2022,SSG,31,RF,16,3.0,42.1,16.0,15.0,1.0,0,100.0,3.4,0.61,-0.42,0.07,,,,,,0.27,0.3,-0.18,0.09,0.028,0.009
43,43,43,2023,SSG,32,1B,80,40.0,433.2,452.0,413.0,37.0,2,99.6,9.34,0.27,,0.79,,0.06,,,,1.12,1.31,-3.72,-2.6,0.114,-0.265
44,44,44,2023,SSG,32,LF,14,6.0,62.0,15.0,13.0,1.0,1,93.3,2.03,1.35,0.32,-0.38,,,,,,1.28,1.5,-0.25,1.03,0.131,0.105
45,45,45,2023,SSG,32,CF,12,7.0,56.1,17.0,16.0,0.0,1,94.1,2.56,-1.61,0.27,-0.42,,,,,,-1.76,-2.06,0.0,-1.76,-0.18,-0.18
46,46,46,2023,SSG,32,RF,23,14.0,124.0,30.0,26.0,2.0,2,93.3,2.03,-0.85,0.23,-0.75,,,,,,-1.36,-1.6,-0.55,-1.91,-0.139,-0.195
47,47,47,2024,SSG,33,1B,89,42.0,478.2,464.0,427.0,35.0,2,99.6,8.69,1.91,,1.36,,0.29,,,,3.57,4.39,-3.92,-0.35,0.326,-0.032
48,48,48,2024,SSG,33,3B,2,0.0,5.0,2.0,0.0,2.0,0,100.0,3.6,0.21,,0.03,,,,,,0.25,0.31,0.0,0.25,0.023,0.023
49,49,49,2024,SSG,33,LF,12,4.0,44.2,7.0,6.0,1.0,0,100.0,1.41,-1.35,0.81,0.05,,,,,,-0.48,-0.59,-0.22,-0.7,-0.044,-0.064
50,50,50,2024,SSG,33,CF,14,7.0,56.0,9.0,9.0,0.0,0,100.0,1.45,-1.07,0.15,0.12,,,,,,-0.8,-0.98,0.0,-0.8,-0.073,-0.073
51,51,51,2024,SSG,33,RF,10,5.0,50.0,19.0,16.0,1.0,2,89.5,3.06,-0.79,0.14,-0.85,,,,,,-1.5,-1.85,-0.25,-1.75,-0.137,-0.16
