,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2021-04-21,SS,0,삼성,패배, 4:14,0,2.1,3,0,3.0,12,10,3,0,0,0,1,0,0,1,47,1.71,0.3,0.333,0.633,0.0,0.02,-1.67,-0.008,,,7+일,before
1,2021-04-27,SS,1,KT,패배, 14:5,0,1.2,1,1,1.7,9,7,2,0,0,0,2,0,0,1,41,2.0,0.294,0.381,0.675,2.25,0.0,-0.86,0.0,,,6일,before
2,2021-05-08,SS,1,키움,패배, 9:2,0,1.0,3,3,3.0,6,6,3,0,0,2,0,0,0,1,26,2.2,0.348,0.407,1.016,7.2,0.01,-2.45,-0.007,,,7+일,before
3,2022-06-02,SS,0,SSG,승리, 14:1,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,,,7+일,after
4,2022-06-04,SS,1,KIA,승리, 3:4,0,1.1,0,0,0.0,5,4,0,0,0,0,1,0,0,0,17,0.43,0.0,0.125,0.125,0.0,0.98,0.6,0.055,,HD,2일,after
5,2022-06-05,SS,1,KIA,패배, 2:2,0,0.1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,0.38,0.0,0.125,0.125,0.0,2.28,0.2,0.051,,,1일,after
6,2022-06-07,SS,0,키움,패배, 0:3,0,2.0,0,0,0.0,8,7,1,0,0,0,1,0,0,2,30,0.64,0.071,0.188,0.259,0.0,0.56,0.94,0.064,,,2일,after
7,2022-06-09,SS,0,키움,승리, 7:1,0,1.0,0,0,0.0,5,5,2,0,0,0,0,0,0,0,17,0.88,0.158,0.238,0.396,0.0,0.44,-0.49,0.014,,,2일,after
8,2022-06-12,SS,0,롯데,패배, 0:13,0,0.2,0,0,1.2,3,3,1,1,0,0,0,0,0,2,18,0.95,0.182,0.25,0.477,0.0,0.14,-1.04,-0.014,,,3일,after
9,2022-06-14,SS,1,SSG,승리, 4:5,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,4,0.9,0.174,0.24,0.457,0.0,1.24,0.41,0.029,,W,2일,after
10,2022-06-15,SS,1,SSG,승리, 3:6,0,1.0,0,0,1.2,4,4,1,1,0,0,0,0,0,1,12,0.91,0.185,0.241,0.5,0.0,1.37,-0.36,-0.001,,W,1일,after
11,2022-06-18,SS,0,두산,패배, 0:5,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,15,0.81,0.167,0.219,0.452,0.0,0.16,0.51,0.013,,,3일,after
12,2022-06-21,SS,1,NC,승리, 1:8,0,1.0,0,0,0.0,5,3,0,0,0,0,1,0,1,0,14,0.83,0.152,0.243,0.455,0.0,0.1,0.51,0.005,,,3일,after
13,2022-06-25,SS,1,LG,패배, 7:2,0,0.1,2,2,1.5,3,3,2,2,0,0,0,0,0,0,15,1.0,0.194,0.275,0.581,1.8,0.61,-1.19,-0.071,,,4일,after
14,2022-06-28,SS,0,삼성,승리, 14:4,0,2.0,1,1,1.0,9,8,3,1,0,0,1,0,0,2,33,1.17,0.227,0.306,0.647,2.25,0.04,0.02,0.002,,,3일,after
15,2022-07-03,SS,1,두산,승리, 0:6,0,1.0,0,0,0.0,4,4,2,1,0,0,0,0,0,0,9,1.23,0.25,0.321,0.696,2.08,0.18,0.51,0.006,,,5일,after
16,2022-07-10,SS,1,롯데,패배, 9:1,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,3,11,1.14,0.235,0.304,0.657,1.93,0.01,0.51,0.0,,,7일,after
17,2022-07-22,SS,0,한화,패배, 0:8,0,1.0,1,1,1.0,5,4,2,2,0,0,0,0,0,1,22,1.2,0.255,0.317,0.717,2.4,0.22,-0.49,-0.017,,,7+일,after
18,2022-07-26,SS,1,키움,패배, 8:7,0,1.1,0,0,0.0,5,4,0,0,0,0,1,0,0,1,18,1.16,0.237,0.308,0.681,2.2,0.51,0.88,0.041,,,4일,after
19,2022-07-27,SS,1,키움,승리, 4:5,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,1,20,1.04,0.215,0.282,0.62,1.96,0.59,1.02,0.09,,W,1일,after
20,2022-07-30,SS,0,LG,패배, 7:8,0,0.2,0,0,1.05,4,3,1,0,0,0,0,0,1,0,6,1.05,0.221,0.293,0.631,1.89,0.34,-0.71,-0.026,,,3일,after
21,2022-08-05,SS,1,한화,승리, 1:5,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,9,1.0,0.211,0.282,0.606,1.8,0.22,0.51,0.017,,,6일,after
22,2022-08-07,SS,1,한화,패배, 6:5,0,1.1,0,0,0.0,5,4,0,0,0,0,1,0,0,1,18,0.98,0.2,0.277,0.584,1.69,1.8,0.76,0.114,,,2일,after
23,2022-08-10,SS,0,SSG,패배, 2:4,0,1.0,0,0,0.0,4,3,0,0,0,0,0,0,0,1,14,0.94,0.192,0.267,0.562,1.61,0.68,0.51,0.029,,,3일,after
24,2022-08-13,SS,1,삼성,승리, 1:8,0,1.0,0,0,0.0,4,3,0,0,0,0,0,0,1,0,18,0.9,0.185,0.267,0.551,1.54,0.01,0.51,0.001,,,3일,after
25,2022-08-14,SS,1,삼성,승리, 2:3,0,1.2,0,0,0.0,7,4,0,0,0,0,1,0,1,2,31,0.88,0.176,0.271,0.542,1.44,0.75,0.77,0.06,,,1일,after
26,2022-08-16,SS,1,키움,승리, 4:5,0,0.2,0,0,0.0,3,2,0,0,0,0,1,0,0,0,13,0.9,0.172,0.273,0.537,1.4,2.31,0.96,0.094,,,2일,after
27,2022-08-19,SS,0,롯데,승리, 4:3,0,1.0,0,0,0.0,6,5,2,0,0,0,1,1,0,2,28,0.98,0.185,0.286,0.558,1.35,2.39,0.29,0.067,,HD,3일,after
28,2022-08-21,SS,1,KIA,승리, 3:11,0,1.0,0,0,1.2,4,3,1,0,0,0,0,0,0,1,17,0.98,0.189,0.284,0.558,1.3,1.32,-0.36,0.012,,,2일,after
29,2022-08-23,SS,0,두산,승리, 2:1,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,3,0.96,0.188,0.282,0.553,1.29,4.37,0.41,0.112,,W,2일,after
30,2022-08-27,SS,0,NC,패배, 2:9,0,0.1,0,0,0.5,2,2,1,1,0,0,0,0,0,0,8,0.99,0.194,0.286,0.572,1.27,0.11,-0.69,-0.011,,,4일,after
31,2022-09-02,SS,1,LG,패배, 2:1,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,4,0.98,0.192,0.283,0.566,1.26,0.66,0.25,0.017,,,6일,after
32,2022-09-04,SS,0,KIA,승리, 6:2,0,2.0,1,1,1.0,8,7,1,0,0,0,0,0,1,2,28,0.95,0.189,0.281,0.555,1.47,1.22,0.76,0.079,,W,2일,after
33,2022-09-07,SS,1,한화,승리, 2:4,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,13,0.92,0.183,0.274,0.54,1.42,0.93,0.51,0.07,,HD,3일,after
34,2022-09-11,SS,0,키움,패배, 0:5,0,0.0,2,2,0.8,2,1,1,0,0,0,1,0,0,0,6,0.98,0.191,0.286,0.559,1.99,0.27,-1.13,-0.019,,,4일,after
35,2022-09-15,SS,0,LG,패배, 0:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,11,0.95,0.186,0.279,0.544,1.93,0.31,0.51,0.023,,,4일,after
36,2022-09-17,SS,1,롯데,패배, 2:0,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,1,12,0.93,0.183,0.275,0.536,1.89,0.2,0.26,0.01,,,2일,after
37,2022-09-22,SS,0,삼성,승리, 9:7,0,0.1,2,1,2.0,6,5,3,0,0,0,1,1,0,0,14,1.04,0.2,0.292,0.567,2.14,1.44,-3.23,-0.342,,,5일,after
38,2022-09-25,SS,0,NC,승리, 9:1,0,1.0,1,1,1.0,5,4,1,1,0,0,1,0,0,0,17,1.07,0.202,0.296,0.578,2.34,0.12,-0.49,0.002,,,3일,after
39,2022-10-05,SS,1,삼성,패배, 7:4,0,1.0,1,1,0.5,4,4,1,1,0,0,0,0,0,1,17,1.07,0.203,0.295,0.584,2.52,0.19,0.57,0.012,,,7+일,after
40,2022-10-08,SS,0,KIA,승리, 7:2,0,1.0,2,2,2.0,7,5,2,0,0,0,1,0,1,1,33,1.12,0.211,0.307,0.6,2.95,0.06,-1.49,0.001,,,3일,after
41,2023-04-01,SS,1,LG,승리, 6:11,0,0.2,0,0,0.0,4,4,2,0,0,0,0,0,0,0,15,3.0,0.5,0.5,1.0,0.0,0.01,0.04,0.0,,,7+일,after
42,2023-04-13,SS,0,NC,승리, 10:3,0,0.0,1,1,1.0,1,1,1,0,0,1,0,0,0,0,5,4.5,0.6,0.6,1.8,13.5,0.43,-1.0,-0.045,,,7+일,after
43,2023-04-14,SS,1,한화,패배, 7:7,0,0.0,0,0,0.5,1,0,0,0,0,0,1,0,0,0,4,6.0,0.6,0.667,1.867,13.5,3.29,-1.0,-0.122,,,1일,after
44,2023-04-15,SS,1,한화,패배, 7:2,0,2.0,0,0,1.05,8,8,2,0,0,0,0,0,0,2,32,2.25,0.385,0.429,1.044,3.38,0.3,-0.63,-0.063,,,1일,after
45,2023-04-20,SS,1,SSG,패배, 8:5,0,1.0,0,0,0.0,4,4,1,1,0,0,0,0,0,0,8,1.91,0.353,0.389,0.977,2.45,0.19,0.52,0.008,,,5일,after
46,2023-04-21,SS,0,두산,패배, 6:10,0,1.0,0,0,0.0,4,4,0,0,0,0,0,0,0,0,12,1.5,0.286,0.318,0.794,1.93,0.05,0.52,0.003,,,1일,after
47,2023-04-26,SS,0,키움,패배, 2:13,0,0.0,2,2,0.8,2,0,0,0,0,0,2,0,0,0,15,1.93,0.286,0.375,0.851,5.79,0.27,-1.1,-0.019,,,5일,after
48,2023-05-11,SS,1,NC,패배, 4:1,0,1.0,0,0,0.0,3,2,0,0,0,0,0,0,1,0,8,1.59,0.261,0.37,0.805,4.76,0.14,0.52,0.008,,,7+일,after
49,2023-05-13,SS,1,롯데,패배, 5:0,0,1.2,0,0,0.0,7,6,1,0,0,0,1,0,0,0,22,1.5,0.241,0.353,0.732,3.68,0.04,0.79,0.004,,,2일,after
50,2023-05-14,SS,1,롯데,패배, 8:3,0,1.0,0,0,0.35,4,4,1,0,0,0,0,0,0,1,11,1.44,0.242,0.342,0.706,3.24,0.01,0.81,0.0,,,1일,after
51,2023-05-17,SS,0,LG,패배, 3:7,0,0.1,1,1,0.65,2,2,1,0,0,0,0,0,0,0,4,1.5,0.257,0.35,0.721,4.15,0.13,-0.46,-0.007,,,3일,after
52,2023-05-18,SS,0,LG,패배, 5:9,0,1.2,1,1,1.0,7,6,2,2,0,0,0,0,0,0,25,1.45,0.268,0.34,0.755,4.35,0.04,-0.33,-0.005,,,1일,after
53,2023-05-20,SS,1,두산,패배, 6:0,0,1.0,1,1,0.3,4,4,1,0,0,0,0,0,0,0,15,1.41,0.267,0.333,0.733,4.76,0.15,0.11,0.007,,,2일,after
54,2023-05-23,SS,1,키움,패배, 3:1,0,0.2,0,0,0.0,3,3,1,0,0,0,0,0,0,0,13,1.42,0.271,0.333,0.729,4.5,0.23,0.31,0.009,,,3일,after
55,2023-05-27,SS,0,삼성,승리, 5:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,11,1.31,0.255,0.316,0.689,4.15,0.72,0.52,0.055,,HD,4일,after
56,2023-05-30,SS,0,KIA,패배, 1:6,0,1.0,1,1,1.0,4,4,1,0,0,1,0,0,0,0,15,1.29,0.255,0.311,0.729,4.5,0.28,-0.48,-0.038,,,3일,after
57,2023-06-02,SS,1,두산,패배, 10:1,0,0.2,5,5,5.7,7,6,4,1,0,3,1,0,0,0,22,1.57,0.295,0.353,0.96,7.36,0.09,-5.53,-0.102,,,3일,after
58,2023-08-18,SS,0,한화,패배, 6:11,0,1.0,1,1,1.85,5,5,2,0,0,1,0,0,0,1,20,1.6,0.303,0.356,0.992,7.47,0.49,-1.17,-0.126,,,7+일,after
59,2023-09-14,SS,0,삼성,패배, 4:10,0,1.1,2,2,0.8,6,5,2,0,0,0,0,0,0,0,12,1.59,0.31,0.359,0.979,7.94,0.31,0.07,0.014,,,7+일,after
60,2023-09-18,SS,0,한화,패배, 2:6,0,1.0,0,0,0.0,3,2,0,0,0,0,1,0,0,0,9,1.56,0.301,0.358,0.961,7.5,0.22,0.52,0.013,,,4일,after
61,2023-09-27,SS,0,LG,패배, 0:4,0,0.0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,9,1.61,0.301,0.366,0.969,7.5,0.75,-0.45,-0.022,,,7+일,after
62,2023-09-27,SS,0,LG,패배, 0:3,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,1,34,1.45,0.278,0.341,0.898,6.75,0.19,1.05,0.03,,,0일,after
63,2023-10-02,SS,1,LG,패배, 5:4,0,1.0,0,0,0.0,4,4,1,1,0,0,0,0,0,0,9,1.43,0.277,0.337,0.891,6.43,0.24,0.52,0.015,,,5일,after
64,2023-10-03,SS,1,KIA,패배, 3:1,0,1.1,0,0,0.0,5,5,1,0,0,0,0,0,0,0,18,1.39,0.273,0.33,0.864,6.04,1.39,0.52,0.072,,,1일,after
65,2023-10-06,SS,1,삼성,패배, 6:2,0,2.1,4,4,3.5,12,7,2,1,0,0,2,0,2,2,42,1.42,0.274,0.349,0.875,6.93,1.1,-2.18,-0.251,,L,3일,after
66,2024-04-09,SS,0,NC,승리, 6:1,0,0.2,0,0,0.0,4,4,2,0,0,0,0,0,0,0,23,3.0,0.5,0.5,1.0,0.0,1.3,0.1,-0.001,,,7+일,after
67,2024-04-10,SS,0,NC,패배, 2:3,0,0.2,1,1,1.0,5,4,2,0,0,0,0,0,1,1,15,3.0,0.5,0.556,1.056,6.75,0.65,-0.93,-0.095,,,1일,after
68,2024-04-12,SS,1,SSG,승리, 3:8,0,1.0,0,0,0.0,5,4,1,0,0,0,1,0,0,1,15,2.57,0.417,0.5,0.917,3.86,0.25,0.61,0.006,,,2일,after
69,2024-04-14,SS,1,SSG,패배, 8:1,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,9,1.8,0.333,0.412,0.745,2.7,0.2,0.61,0.015,,,2일,after
70,2024-04-17,SS,0,키움,승리, 6:4,0,0.1,3,3,1.8,4,2,2,0,0,0,1,0,0,0,16,2.45,0.412,0.476,0.888,9.82,2.35,-1.55,-0.162,,,3일,after
71,2024-04-19,SS,0,롯데,패배, 3:4,0,0.0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,6,2.73,0.412,0.5,0.912,9.82,0.53,-0.42,-0.019,,,2일,after
72,2024-06-26,SS,0,SSG,패배, 5:10,0,2.0,3,3,3.0,11,11,5,0,1,2,0,0,0,2,48,2.65,0.429,0.485,1.199,11.12,0.29,-2.77,-0.143,,,7+일,after
73,2024-06-28,SS,1,삼성,승리, 4:5,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,6,2.5,0.414,0.471,1.161,10.5,0.57,0.22,0.01,,,2일,after
74,2024-07-04,SS,0,한화,패배, 5:13,0,0.2,0,0,1.2,3,3,1,0,0,0,0,0,0,0,13,2.4,0.406,0.459,1.115,9.45,0.42,-0.83,-0.044,,,6일,after
