,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2018-05-29,SS,0,삼성,승리, 14:4,0,1.0,1,1,1.0,5,5,2,1,0,0,0,0,0,1,22,2.0,0.4,0.4,1.0,9.0,0.02,-0.37,0.0,,,7+일,before
1,2018-06-20,SS,1,롯데,패배, 11:4,0,1.0,2,2,2.0,8,6,3,0,0,0,2,0,0,1,33,3.5,0.455,0.538,1.083,13.5,0.02,-1.37,-0.002,,,7+일,before
2,2019-03-23,SS,0,SK,패배, 4:7,0,1.0,1,0,1.0,4,2,0,0,0,0,2,0,0,0,18,2.0,0.0,0.5,0.5,0.0,0.23,-0.48,-0.027,,,7+일,before
3,2022-04-02,SS,0,키움,승리, 7:2,0,1.0,1,1,1.0,5,5,2,1,0,0,0,0,0,1,13,2.0,0.4,0.4,1.0,9.0,0.13,-0.49,0.003,,,7+일,after
4,2022-04-10,SS,1,두산,패배, 4:3,0,0.0,2,1,1.3,2,2,2,1,0,0,0,0,0,0,6,4.0,0.571,0.571,1.428,18.0,1.23,-1.41,-0.132,,,7+일,after
5,2022-04-15,SS,1,KT,승리, 7:9,0,0.1,3,2,2.15,5,2,1,0,0,0,3,0,0,0,20,6.0,0.556,0.667,1.445,27.0,0.57,-2.23,-0.099,,,5일,after
6,2022-05-04,SS,0,KT,승리, 5:0,0,0.2,0,0,0.0,4,3,1,0,0,0,1,0,0,1,21,5.0,0.5,0.625,1.292,18.0,0.14,0.1,0.003,,,7+일,after
7,2022-07-23,SS,1,KIA,패배, 9:3,0,0.1,2,2,2.0,4,2,1,1,0,0,2,0,0,1,21,5.57,0.5,0.65,1.364,23.14,0.09,-2.19,-0.012,,,7+일,after
8,2023-04-22,SS,0,NC,승리, 10:6,0,0.1,3,3,2.5,5,3,2,1,0,0,2,0,0,1,21,12.0,0.667,0.8,1.8,81.0,0.75,-2.45,-0.123,,,7+일,after
9,2023-04-23,SS,0,NC,승리, 5:3,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,15,3.75,0.429,0.556,1.127,20.25,0.15,0.52,0.006,,W,1일,after
10,2023-04-26,SS,1,한화,승리, 1:8,0,1.0,0,0,0.0,5,4,1,0,0,0,1,0,0,0,17,3.0,0.364,0.5,0.955,11.57,0.02,0.52,0.001,,,3일,after
11,2023-05-03,SS,0,KIA,패배, 2:10,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,11,2.1,0.286,0.412,0.769,8.1,0.0,0.52,0.0,,,7일,after
12,2023-05-09,SS,1,두산,패배, 5:2,0,1.0,1,1,1.0,4,4,1,1,0,0,0,0,0,0,16,1.85,0.278,0.381,0.77,8.31,0.27,-0.48,-0.027,,,6일,after
13,2023-05-12,SS,0,KT,패배, 1:2,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,17,1.69,0.273,0.36,0.724,6.75,1.56,0.52,0.075,,,3일,after
14,2023-05-14,SS,0,KT,승리, 8:3,0,0.2,3,3,2.5,6,4,2,1,0,0,2,0,0,1,30,2.17,0.308,0.419,0.842,10.5,0.01,-1.96,-0.001,,,2일,after
15,2023-05-18,SS,0,한화,승리, 7:3,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1,2.05,0.296,0.406,0.813,9.95,0.16,0.21,0.005,,,4일,after
16,2023-05-20,SS,1,SSG,패배, 5:0,0,3.0,0,0,0.0,12,12,3,1,0,0,0,0,0,1,36,1.71,0.282,0.364,0.749,6.75,0.07,1.57,0.012,,,2일,after
17,2023-05-25,SS,1,NC,승리, 1:11,0,1.0,1,1,1.0,5,5,2,2,0,0,0,0,0,0,12,1.74,0.295,0.367,0.799,6.97,0.02,-0.48,0.0,,,5일,after
18,2023-06-01,SS,0,LG,패배, 1:6,0,1.0,1,1,1.0,5,4,2,0,2,0,1,0,0,0,16,1.85,0.313,0.389,0.91,7.15,0.06,-0.48,-0.006,,,7일,after
19,2023-06-02,SS,1,KIA,승리, 2:14,0,2.0,0,0,0.0,7,7,1,0,0,0,0,0,0,3,27,1.65,0.291,0.361,0.834,6.08,0.01,1.05,0.0,,,1일,after
20,2023-06-06,SS,1,KT,패배, 4:1,0,0.0,0,0,0.35,1,1,1,0,0,0,0,0,0,0,1,1.73,0.304,0.371,0.853,6.08,0.39,-0.73,-0.023,,,4일,after
21,2023-06-08,SS,1,KT,패배, 7:6,0,2.0,0,0,0.0,8,6,0,0,0,0,2,0,0,3,33,1.63,0.274,0.357,0.792,5.28,2.42,1.05,0.275,,,2일,after
22,2023-06-10,SS,0,삼성,패배, 7:9,0,0.2,0,0,0.35,4,3,1,0,0,0,1,0,0,0,17,1.69,0.277,0.365,0.796,5.06,0.98,0.26,-0.008,,,2일,after
23,2023-06-13,SS,1,한화,승리, 5:7,0,1.0,0,0,0.0,5,4,1,0,0,0,1,1,0,1,17,1.71,0.275,0.367,0.787,4.76,2.93,0.52,0.121,,HD,3일,after
24,2023-06-15,SS,1,한화,패배, 5:4,0,0.2,0,0,0.0,3,2,0,0,0,0,1,0,0,0,15,1.7,0.268,0.366,0.774,4.58,1.12,0.98,0.047,,,2일,after
25,2023-06-20,SS,0,KT,패배, 2:5,0,0.1,0,0,0.85,3,3,2,0,0,0,0,0,0,0,15,1.78,0.284,0.376,0.795,4.5,0.43,-0.96,-0.054,,,5일,after
26,2023-06-24,SS,0,LG,패배, 1:9,0,2.0,0,0,0.0,9,8,2,0,0,0,1,0,0,2,30,1.75,0.28,0.372,0.774,4.05,0.0,1.05,0.0,,,4일,after
27,2023-06-28,SS,1,삼성,승리, 6:9,0,0.2,1,1,1.0,4,3,1,0,0,1,1,0,0,0,19,1.79,0.282,0.378,0.813,4.35,0.74,-0.69,-0.04,,,4일,after
28,2023-07-25,SS,0,두산,패배, 5:8,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,16,1.71,0.273,0.366,0.786,4.15,0.01,0.52,0.001,,,7+일,after
29,2023-07-27,SS,0,두산,승리, 9:1,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,3,20,1.68,0.264,0.362,0.769,3.97,0.02,0.52,0.002,,,2일,after
30,2023-07-29,SS,0,KIA,패배, 1:4,0,2.0,0,0,0.0,8,6,1,0,0,0,1,0,0,0,27,1.62,0.258,0.357,0.749,3.65,0.23,1.05,0.022,,,2일,after
31,2023-07-30,SS,0,KIA,패배, 3:6,0,0.1,3,3,1.45,4,2,1,1,0,0,2,0,0,0,15,1.72,0.263,0.371,0.775,4.68,0.28,-1.14,-0.021,,,1일,after
32,2023-08-03,SS,1,NC,패배, 8:1,0,0.1,4,4,3.65,5,5,4,2,1,0,0,0,0,0,18,1.86,0.288,0.388,0.85,6.04,0.19,-3.68,-0.019,,,4일,after
33,2023-08-09,SS,0,키움,패배, 8:10,0,1.2,4,4,3.5,11,8,4,2,0,0,3,0,0,1,54,2.0,0.304,0.409,0.891,7.0,0.22,-2.45,-0.029,,,6일,after
34,2023-10-12,SS,0,KIA,패배, 5:6,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,5,1.93,0.296,0.4,0.87,6.75,0.41,0.52,0.031,,,7+일,after
35,2023-10-14,SS,0,한화,패배, 0:8,0,1.0,1,1,1.0,7,6,3,0,0,0,1,0,0,0,25,2.0,0.306,0.408,0.879,6.83,0.31,-0.48,-0.017,,,2일,after
36,2024-03-23,SS,0,SSG,패배, 3:5,0,0.2,0,0,0.0,2,1,0,0,0,0,1,0,0,0,9,1.5,0.0,0.5,0.5,0.0,0.21,0.32,0.008,,,7+일,after
