,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2022-04-05,SS,1,LG,패배, 8:4,0,1.0,3,3,3.00,8,7,4,0,0,0,1,0,0,0,22,5.00,0.571,0.625,1.196,27.00,2.23,-2.49,-0.408,BLHD,L,7+일
1,2022-05-21,SS,1,한화,승리, 2:11,0,0.2,1,1,1.00,6,5,3,0,0,0,1,0,0,1,20,5.40,0.583,0.643,1.226,21.60,0.01,-0.74,0.000,,,7+일
2,2022-05-26,SS,0,LG,승리, 12:5,0,0.1,2,0,1.65,5,4,1,1,0,0,0,0,1,0,14,5.00,0.500,0.579,1.142,18.00,0.02,-2.23,-0.002,,,5일
3,2022-08-25,SS,0,NC,승리, 10:9,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,12,3.67,0.421,0.522,0.996,12.00,0.06,0.51,0.003,,,7+일
4,2022-08-28,SS,0,LG,패배, 0:7,0,1.0,1,1,1.00,5,5,2,0,0,0,0,0,0,1,21,3.25,0.417,0.500,0.958,11.25,0.02,-0.49,-0.001,,,3일
