,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2013,KIA,23,C,-0.71,0.47,51,96,95,89,6,14,1,1,2,23,9,0,0,5,1,0,44,1,1,0,0.157,0.211,0.258,0.469,-0.111,10.8,-0.24
1,2015,KIA,25,C,0.4,0.02,112,246,240,222,25,48,10,1,12,96,39,1,0,12,7,1,64,3,5,0,0.216,0.278,0.432,0.71,0.095,69.9,0.42
2,2016,KIA,26,C,0.94,-0.52,106,273,269,241,27,64,16,2,9,111,45,0,1,19,4,1,66,5,3,6,0.266,0.322,0.461,0.783,0.122,87.9,0.42
3,2017,KIA,27,C,0.01,-0.11,3,10,9,8,0,2,0,0,0,2,0,0,0,1,0,0,3,0,1,0,0.25,0.333,0.25,0.583,0.073,48.0,-0.1
4,2017,SSG,27,C,-0.08,0.31,50,100,100,93,14,17,3,0,10,50,18,0,0,4,2,0,40,2,0,1,0.183,0.23,0.538,0.768,0.099,72.7,0.23
5,2020,SSG,30,C,-0.24,-0.13,23,53,53,48,3,9,1,0,1,13,3,0,0,3,1,0,16,3,0,1,0.188,0.245,0.271,0.516,0.035,28.2,-0.38
6,2020,KT,30,C,0.14,-0.21,26,43,41,36,2,7,1,0,2,14,5,0,0,3,2,0,10,0,2,0,0.194,0.293,0.389,0.682,0.098,74.2,-0.07
7,2021,KT,31,C,-0.59,0.12,37,58,58,55,4,9,0,0,1,12,5,0,0,2,0,1,28,4,0,1,0.164,0.19,0.218,0.408,-0.011,-8.4,-0.47
