,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2017,롯데,19,3B,-0.18,-0.06,10,19,18,17,0,3,0,0,0,3,0,0,0,1,0,0,9,0,1,0,0.176,0.222,0.176,0.398,-0.011,-7.9,-0.24
1,2019,롯데,21,3B,0.00,-0.21,11,37,37,34,0,8,3,0,0,11,1,0,0,1,2,0,14,2,0,0,0.235,0.297,0.324,0.621,0.083,67.3,-0.21
2,2020,롯데,22,3B,0.03,0.12,3,10,10,8,1,2,0,0,0,2,0,1,0,2,0,0,4,0,0,0,0.250,0.400,0.250,0.650,0.122,95.3,0.15
3,2021,롯데,23,3B,0.33,0.05,82,224,221,199,19,48,11,1,3,70,25,0,0,18,3,0,62,4,3,1,0.241,0.312,0.352,0.664,0.095,74.6,0.38
4,2022,롯데,24,3B,0.04,0.15,57,156,153,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0,0.257,0.320,0.300,0.620,0.088,73.8,0.19
5,2023,롯데,25,3B,-0.04,-0.22,25,51,50,43,4,9,1,1,0,12,2,0,0,7,0,0,17,2,1,0,0.209,0.320,0.279,0.599,0.088,71.4,-0.26
6,2024,LG,26,3B,-0.22,-0.11,19,22,22,20,1,3,0,0,0,3,0,0,0,1,1,0,4,1,0,0,0.150,0.227,0.150,0.377,-0.004,-3.4,-0.33
