,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,0,0,2018,롯데,26,3B,0.94,0.41,27,77,77,66,18,24,7,0,3,40,13,3,0,9,1,0,24,1,0,1,0.364,0.442,0.606,1.048,0.231,157.5,1.35
1,1,1,2019,롯데,27,1B,-0.89,0.1,29,55,54,51,2,5,1,0,0,6,0,0,0,3,0,0,22,0,1,0,0.098,0.148,0.118,0.266,-0.051,-41.9,-0.79
2,2,2,2020,키움,28,3B,0.12,0.27,119,402,400,359,46,85,13,3,8,128,48,7,0,37,2,0,100,7,2,2,0.237,0.31,0.357,0.667,0.096,75.6,0.39
3,3,3,2021,키움,29,3B,0.32,0.03,115,261,257,214,35,40,8,0,6,66,31,3,1,33,9,0,83,0,4,1,0.187,0.319,0.308,0.627,0.093,78.8,0.35
4,4,4,2022,키움,30,1B,-0.37,0.4,115,231,222,197,14,40,7,0,5,62,21,0,0,17,7,0,68,5,9,1,0.203,0.288,0.315,0.603,0.081,71.6,0.03
5,5,5,2023,키움,31,1B,-0.3,0.1,41,75,73,62,6,9,3,0,1,15,6,0,0,10,1,0,28,0,2,0,0.145,0.274,0.242,0.516,0.058,50.2,-0.2
6,6,6,2024,삼성,32,3B,-0.07,0.36,58,128,128,111,17,25,5,0,5,45,14,0,1,14,1,0,42,3,0,2,0.225,0.313,0.405,0.718,0.11,77.9,0.3
