,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2016,넥센,19,C,-0.18,0.12,12,19,19,18,3,4,1,0,0,5,3,0,0,1,0,0,9,0,0,0,0.222,0.263,0.278,0.541,0.039,27.2,-0.06
1,2017,넥센,20,C,-0.52,-0.31,64,129,129,118,10,23,5,0,1,31,9,0,0,9,2,0,51,2,0,0,0.195,0.264,0.263,0.527,0.041,30.6,-0.83
2,2018,넥센,21,C,-0.44,-0.02,80,126,122,110,9,24,3,0,1,30,12,1,2,10,2,0,36,2,4,0,0.218,0.295,0.273,0.568,0.062,44.1,-0.46
3,2019,키움,22,C,-0.08,-0.03,18,30,30,29,3,6,2,1,0,10,5,0,0,1,0,0,7,0,0,0,0.207,0.233,0.345,0.578,0.058,50.6,-0.11
4,2020,키움,23,C,-0.16,0.03,63,101,98,84,6,16,4,0,0,20,7,0,0,13,0,0,26,0,3,1,0.190,0.296,0.238,0.534,0.060,47.2,-0.13
5,2023,KIA,26,C,-0.53,0.00,19,36,34,32,2,2,0,0,0,2,1,0,0,2,0,0,10,1,2,0,0.063,0.118,0.063,0.181,-0.082,-72.3,-0.53
