,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2015,LG,24,3B,-0.68,-0.55,125,384,378,358,36,93,22,1,8,141,48,6,6,18,0,2,75,6,5,3,0.26,0.293,0.394,0.687,0.083,66.7,-1.23
1,2016,LG,25,1B,0.1,0.52,80,215,212,203,24,56,10,1,6,86,37,3,0,6,1,0,48,1,3,2,0.276,0.297,0.424,0.721,0.098,74.3,0.62
2,2017,LG,26,1B,0.65,0.41,132,496,494,445,62,117,27,3,14,192,83,3,7,38,6,2,93,13,2,5,0.263,0.326,0.431,0.757,0.115,90.8,1.05
3,2018,LG,27,1B,0.89,-0.27,140,519,518,483,53,127,27,0,22,220,82,2,2,24,6,0,81,9,1,5,0.263,0.303,0.455,0.758,0.113,85.6,0.62
4,2020,LG,29,1B,0.1,-0.06,40,132,130,118,8,29,5,0,3,43,13,0,0,10,2,0,25,1,2,0,0.246,0.315,0.364,0.679,0.102,83.6,0.04
5,2021,두산,30,3B,2.75,-0.43,133,546,545,488,66,133,22,0,28,239,96,2,3,42,9,2,136,10,0,7,0.273,0.337,0.49,0.827,0.147,127.3,2.32
6,2022,두산,31,1B,1.37,-0.48,107,446,444,405,58,99,14,1,20,175,51,1,0,32,7,3,101,3,0,2,0.244,0.309,0.432,0.741,0.121,108.9,0.9
7,2023,두산,32,1B,2.42,0.41,140,582,579,524,73,147,28,0,21,238,89,4,0,41,6,3,133,9,0,11,0.281,0.333,0.454,0.787,0.135,119.4,2.83
8,2024,두산,33,1B,1.79,0.37,142,593,592,533,83,131,25,1,34,260,107,5,3,49,7,1,128,15,1,3,0.246,0.316,0.488,0.804,0.136,104.5,2.17
