,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2014,KIA,23,CF,0.30,0.06,32,55,55,42,6,11,0,0,0,11,2,2,0,8,5,0,18,1,0,0,0.262,0.436,0.262,0.698,0.149,102.7,0.37
1,2015,KIA,24,CF,-0.01,-0.01,51,88,85,66,15,11,2,1,0,15,4,2,1,13,6,0,20,0,3,0,0.167,0.353,0.227,0.580,0.091,65.9,-0.02
2,2018,KIA,27,CF,0.30,0.05,85,150,145,123,32,28,5,1,5,50,24,0,2,13,9,0,37,1,5,0,0.228,0.345,0.407,0.752,0.127,91.7,0.36
3,2019,KIA,28,RF,-0.18,-0.09,38,47,47,41,13,7,3,0,0,10,4,1,1,4,0,0,15,1,0,2,0.171,0.234,0.244,0.478,0.025,21.3,-0.27
4,2020,키움,29,RF,1.95,-0.28,128,443,434,347,71,85,13,1,5,115,29,5,1,65,19,0,120,4,9,3,0.245,0.389,0.331,0.720,0.137,108.7,1.67
5,2021,키움,30,CF,0.13,-0.26,27,58,58,46,10,9,3,0,0,12,4,1,0,10,2,0,16,0,0,0,0.196,0.362,0.261,0.623,0.107,88.7,-0.13
6,2022,키움,31,RF,-0.17,-0.13,52,84,83,70,9,11,4,0,1,18,10,0,0,11,2,0,33,0,1,0,0.157,0.289,0.257,0.546,0.072,62.8,-0.31
7,2023,키움,32,RF,-0.16,-0.18,14,15,15,14,0,2,0,0,0,2,1,0,0,1,0,0,7,0,0,0,0.143,0.200,0.143,0.343,-0.019,-16.6,-0.34
