,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2016,SK,19,3B,-0.09,0.05,11,12,12,11,3,2,0,0,0,2,0,0,0,1,0,0,6,0,0,0,0.182,0.250,0.182,0.432,0.006,4.2,-0.04
1,2022,KIA,25,3B,-0.03,-0.02,10,17,17,14,4,1,0,0,1,4,1,0,0,2,1,0,9,1,0,0,0.071,0.235,0.286,0.521,0.062,52.1,-0.05
